Developer Name, Repository Name, Number of Stars
hpcaitech , Open-Sora, 18,678
danny-avila , LibreChat, 13,234
rustdesk , rustdesk, 66,694
amplication , amplication, 14,166
open-metadata , OpenMetadata, 4,651
pocketbase , pocketbase, 35,420
zed-industries , zed, 38,415
baptisteArno , typebot.io, 5,615
argilla-io , argilla, 3,407
bleedline , aimoneyhunter, 10,288
ollama , ollama, 74,543
langflow-ai , langflow, 19,213
lobehub , lobe-chat, 33,045
practical-tutorials , project-based-learning, 177,941
omnivore-app , omnivore, 10,085
yangshun , tech-interview-handbook, 113,358
tencentmusic , supersonic, 941
serverless , serverless, 46,275
